Warning: Null value is eliminated by an aggregate or other SET operation.
database_name|state_desc|create_date|table_count|view_count|procedure_count|function_count|synonym_count|approx_user_rows|latest_object_modify_date|agent_job_count|agent_job_step_count|latest_agent_job_run
-------------|----------|-----------|-----------|----------|---------------|--------------|-------------|----------------|-------------------------|---------------|--------------------|--------------------
CMS|ONLINE|2023-01-19 16:29:41|73|13|50|5|0|31448525|2022-01-11 17:25:04|2|2|2026-06-19 09:11:00
Sonic_DW|ONLINE|2023-01-19 05:11:36|1002|386|324|6|8|9707651215|2026-06-19 09:55:46|3|3|2026-06-19 07:30:00
GPA|ONLINE|2023-01-19 16:38:50|34|3|26|1|0|1893588|2026-01-15 14:00:34|1|1|
TitleTracking|ONLINE|2023-01-19 14:18:59|44|13|3|0|0|52169973|2026-06-19 10:06:22|0|0|
ETL_Staging|ONLINE|2023-01-19 03:47:43|1331|138|220|6|6|5032033094|2026-06-19 08:54:16|0|0|
Sims_DW|ONLINE|2023-01-19 01:24:57|18|2|20|0|0|531394255|2025-09-18 13:40:45|0|0|
ContentManagement|ONLINE|2023-01-19 14:46:29|21|3|0|0|0|163282|2021-11-16 07:00:01|0|0|
Sonic_DQ|ONLINE|2023-01-19 17:00:40|296|12|9|1|2|608752588|2021-08-08 09:22:01|0|0|
FORETEMP|ONLINE|2023-01-19 15:05:39|17|1|1|0|0|906655|2021-07-21 13:53:32|0|0|
Validation|ONLINE|2023-01-19 16:40:34|11|11|0|0|0|19156082|2020-05-14 11:09:27|0|0|
