ReportPath|ReportName|DatasetName|CommandType|CommandText
----------|----------|-----------|-----------|-----------
/AcctStd/Custno to Stockno|Custno to Stockno|DataSet1|Text|select accountingaccount,custno,stockno,accountingdate,fiwipstatuscode [Deal Status],dealno from vehiclesalescurrent where accountingaccount = @AcctgAcct and custno in (@CustNos) and fiwipstatuscode in( 'f','u')
/AcctStd/ROnumber to Custno|ROnumber to Custno|DataSet1|Text|select accountingaccount,ronumber,custno,closedate,opendate from servicesalesclosed where accountingaccount = @AcctgAcct and ronumber in (@RONos)
/AcctStd/Stockno to Custno|Stockno to Custno|DataSet1|Text|select accountingaccount,stockno,custno,accountingdate,fiwipstatuscode [Deal Status],dealno from vehiclesalescurrent where accountingaccount = @AcctgAcct and stockno in (@StockNos) and fiwipstatuscode in( 'f','u')
/AcctStd/Trade1Stockno to Custno|Trade1Stockno to Custno|DataSet1|Text|select accountingaccount, trade1stock,custno,stockno,accountingdate,fiwipstatuscode [Deal Status],dealno from vehiclesalescurrent where accountingaccount = @AcctgAcct and trade1stock in (@Trade1Stocknos) and fiwipstatuscode in( 'f','u')
/BI - Controllers/GL - Open Stores|GL - Open Stores|DataSet1|Text|SELECT DISTINCT                        glcalendar.cora_acct_id, glcalendar.hostitemid, glcalendar.companyid, glcalendar.companyidright, glcalendar.glcutoffdate, glcalendar.glcutofftime,                        glcalendar.glfirstdayofmonth, glcalendar.glmont
/BI - Controllers/GL - Open Stores|GL - Open Stores|DefaultDate|Text|SELECT cast(CONVERT(VARCHAR(25),DATEADD(dd,-(DAY(getdate())),getdate()),101) as date) as Date , 'Last Day of Previous Month'AS Date_Type
/BI - Daily Status/DailyStatus|DailyStatus|DataSet1|Text|/****** Script for SelectTopNRows command from SSMS  ******/ SELECT [ExecutionDate]       ,[InsertedCount]       ,[DeletedCount]       ,'WebV' as [DWDatabase]       ,[TableName]       ,[StartDateTime]       ,[EndDateTime]       ,convert(float,datediff(SECO
/BI - Daily Status/DailyStatus|DailyStatus|RA_SIMS|Text|SELECT [ExecutionDate]       ,[InsertedCount]       ,DeletedCount             ,'RA_SIMS' as [DWDataBase]       ,[TableName]       ,[StartDateTime]       ,[EndDateTime]       ,convert(float,datediff(SECOND,StartDateTime,EndDateTime))/60 as durationMin
/BI - Data Analytics/EP Day 1|EP Day 1|Day1|Text|NULL
/BI - EchoPark/Replenishment|Replenishment|ReplenishmentList|Text|SELECT        Replace_Now, New_StockNo, New_VIN, New_Year, New_Make, New_Model, New_Miles, New_Price, New_Class, Move_To_Location, Move_From_Location,                           Sold_VIN, Sold_StockNo, Sold_Year, Sold_Make, Sold_Model, Sold_Miles, Sold_Pric
/BI - Financial Reporting/VehGT100K|VehGT100K|DataSet1|Text|SELECT     stocktype, AccountingName, Region, control, currentmonth, companyid, accountnumberright, accountnumber, Prefix, Balance, StockDate, DaysInStock, Year, Make,                        Model, dasha, vehBal, Status, vehPrice1, mileage, trimlevel, colo
/BI - Financial Reporting/VehGT100K_old|VehGT100K_old|DataSet1|Text|USE WebV SELECT     distinct locations.location_name, veh_inventory.vin2, veh_inventory.stock_dt, veh_inventory.stk_nbr, veh_inventory.mod_yr2, veh_inventory.make_desc2, veh_inventory.mod_desc2,                        veh_inventory.acctg_cost_amt,
/BI - FORCE/EP_ReconCost|EP_ReconCost|ReconCost2|Text|SELECT        x.cora_acct_id, e.entdealerlvl1 AS EntityName, row_number() OVER (partition BY x.cora_acct_id ORDER BY e.entActive, x.CompanyID DESC) AS PrefSeq INTO              #EntityName FROM            [cor-sql-02].dms.dbo.dm_cora_account da INNER JOIN
/BI - FORCE/TIRE Report|TIRE Report|DataSet1|Text|--from Adam Vogel --DECLARE @DaysOfHistory INT; --DECLARE @StartDate DATE; --DECLARE @EndDate DATE;  ------------------------------------------------------------------------------------ -- Set the value to determine how far back you want to pull data. ----
/BI - FORCE/UpLoadOpCodes|UpLoadOpCodes|TBD_Opcodes|Text|SELECT        o.EntBrand, o.EntDealerLvl1, o.cora_acct_id_service, o.OpcOpCode, o.OpcOpCodeDescription, o.OpcOpCodeCategory, o.OpcMenu, o.OpcOther, o.OpcWeight FROM            (SELECT        EntBrand, EntDealerLvl1, OpcCoraAcctID AS cora_acct_id_service, O
/BI - FPnA/Copy of Retail Sales Report_CleanGross_Hal|Copy of Retail Sales Report_CleanGross_Hal|DealTypes|Text|select 'F' as DealType union  select 'B'
/BI - FPnA/Copy of Retail Sales Report_CleanGross_Hal|Copy of Retail Sales Report_CleanGross_Hal|Retail_Sales_MTD_lastyear|Text|/*------------------------------------------------------------------------------------------------------------------ view to pull vehicle information  --GOOD --------------------------------------------------------------------------------------------------
/BI - FPnA/Copy of Retail Sales Report_CleanGross_Hal_B1|Copy of Retail Sales Report_CleanGross_Hal_B1|DealTypes|Text|select 'F' as DealType union  select 'B'
/BI - FPnA/Copy of Retail Sales Report_CleanGross_Hal_B1|Copy of Retail Sales Report_CleanGross_Hal_B1|Retail_Sales_MTD_lastyear|Text|WITH VSC AS (SELECT DISTINCT                                                           c.related_acctg_cora_acct_id AS acctg_cora, v.stockno, v.dealno, v.vin AS VIN, v.year AS ModelYear, v.makename AS Make, v.modelname AS Model,
/BI - FPnA/Retail Sales MTD vs Last Year|Retail Sales MTD vs Last Year|Retail_Sales_MTD_lastyear|Text|WITH VSC AS (SELECT DISTINCT c.related_acctg_cora_acct_id, v.stockno, v.dealno, v.vin AS VIN, v.year AS ModelYear, v.makename AS Make, v.modelname AS Model                                FROM            [COR-SQL-02].DMS.dbo.vehiclesalescurrent AS v INNER J
/BI - FPnA/Retail Sales Report|Retail Sales Report|DealTypes|Text|select 'F' as DealType union  select 'B'
/BI - FPnA/Retail Sales Report|Retail Sales Report|Retail_Sales_MTD_lastyear|Text|-------------------------------------------------------------------------------------------------------------------- --view to pull vehicle information  --GOOD ------------------------------------------------------------------------------------------------
/BI - FPnA/Retail Sales Report_CleanGross|Retail Sales Report_CleanGross|DealTypes|Text|select 'F' as DealType union  select 'B'
/BI - FPnA/Retail Sales Report_CleanGross|Retail Sales Report_CleanGross|Retail_Sales_MTD_lastyear|Text|-------------------------------------------------------------------------------------------------------------------- --view to pull vehicle information  --GOOD ------------------------------------------------------------------------------------------------
/BI - FPnA/Retail Sales Report_CleanGross_Hal|Retail Sales Report_CleanGross_Hal|DealTypes|Text|select 'F' as DealType union  select 'B'
/BI - FPnA/Retail Sales Report_CleanGross_Hal|Retail Sales Report_CleanGross_Hal|Retail_Sales_MTD_lastyear|Text|WITH VSC AS (SELECT DISTINCT                                                           c.related_acctg_cora_acct_id AS acctg_cora, v.stockno, v.dealno, v.vin AS VIN, v.year AS ModelYear, v.makename AS Make, v.modelname AS Model,
/BI - FPnA/Retail Sales Report_CleanGross_Hal_B1|Retail Sales Report_CleanGross_Hal_B1|DealTypes|Text|select 'F' as DealType union  select 'B'
/BI - FPnA/Retail Sales Report_CleanGross_Hal_B1|Retail Sales Report_CleanGross_Hal_B1|Retail_Sales_MTD_lastyear|Text|WITH VSC AS (SELECT DISTINCT                                                           c.related_acctg_cora_acct_id AS acctg_cora, v.stockno, v.dealno, v.vin AS VIN, v.year AS ModelYear, v.makename AS Make, v.modelname AS Model,
/BI - FPnA/Retail Sales Report_CleanGross_Hal_B1_Copy|Retail Sales Report_CleanGross_Hal_B1_Copy|DealTypes|Text|select 'F' as DealType union  select 'B'
/BI - FPnA/Retail Sales Report_CleanGross_Hal_B1_Copy|Retail Sales Report_CleanGross_Hal_B1_Copy|Retail_Sales_MTD_lastyear|Text|WITH VSC AS (SELECT DISTINCT                                                           c.related_acctg_cora_acct_id AS acctg_cora, v.stockno, v.dealno, v.vin AS VIN, v.year AS ModelYear, v.makename AS Make, v.modelname AS Model,
/BI - FPnA/Retail Sales Report_CleanGross_Hal_B1_OpenRange|Retail Sales Report_CleanGross_Hal_B1_OpenRange|DealTypes|Text|select 'F' as DealType union  select 'B'
/BI - FPnA/Retail Sales Report_CleanGross_Hal_B1_OpenRange|Retail Sales Report_CleanGross_Hal_B1_OpenRange|Retail_Sales_MTD_lastyear|Text|WITH VSC AS (SELECT DISTINCT                                                           c.related_acctg_cora_acct_id AS acctg_cora, v.stockno, v.dealno, v.vin AS VIN, v.year AS ModelYear, v.makename AS Make, v.modelname AS Model,
/BI - FPnA/Retail Sales Report_CleanGross_Hal_B1YDay|Retail Sales Report_CleanGross_Hal_B1YDay|DealTypes|Text|select 'F' as DealType union  select 'B'
/BI - FPnA/Retail Sales Report_CleanGross_Hal_B1YDay|Retail Sales Report_CleanGross_Hal_B1YDay|Retail_Sales_MTD_lastyear|Text|WITH VSC AS (SELECT DISTINCT                                                           c.related_acctg_cora_acct_id AS acctg_cora, v.stockno, v.dealno, v.vin AS VIN, v.year AS ModelYear, v.makename AS Make, v.modelname AS Model,
/BI - FPnA/Retail Sales Report_CleanGross_Hal_RP|Retail Sales Report_CleanGross_Hal_RP|DealTypes|Text|select 'F' as DealType union  select 'B'
/BI - FPnA/Retail Sales Report_CleanGross_Hal_RP|Retail Sales Report_CleanGross_Hal_RP|Retail_Sales_MTD_lastyear|Text|WITH VSC AS (SELECT DISTINCT                                                           c.related_acctg_cora_acct_id AS acctg_cora, v.stockno, v.dealno, v.vin AS VIN, v.year AS ModelYear, v.makename AS Make, v.modelname AS Model,
