ReportPath|ReportName|DataSourceName|SharedDataSourcePath|SharedDataSourceItemID
----------|----------|--------------|--------------------|----------------------
/AcctStd/Custno to Stockno|Custno to Stockno|DMS|/AcctStd/DataSource/DMS|547C5877-14BF-4D57-A908-55A0C557573A
/AcctStd/ROnumber to Custno|ROnumber to Custno|DMS|/AcctStd/DataSource/DMS|547C5877-14BF-4D57-A908-55A0C557573A
/AcctStd/Stockno to Custno|Stockno to Custno|DMS|/AcctStd/DataSource/DMS|547C5877-14BF-4D57-A908-55A0C557573A
/AcctStd/Trade1Stockno to Custno|Trade1Stockno to Custno|DMS|/AcctStd/DataSource/DMS|547C5877-14BF-4D57-A908-55A0C557573A
/BI - Controllers/GL - Open Stores|GL - Open Stores|DMS|/BI - Controllers/DataSource/DMS_DWA|7CF2D0EB-85F9-420B-8321-DA232FA1D76B
/BI - Daily Status/DailyStatus|DailyStatus|DataSource1|/BI - Daily Status/DataSource/DMS|E72A05E0-FB1E-4DC9-8BC3-E0F98F0BF457
/BI - Daily Status/DailyStatus|DailyStatus|RA_SIMS|/BI - Daily Status/DataSource/RA_SIMS|7AD90C61-F8E8-4889-BC3E-029450C06D15
/BI - Data Analytics/EP Day 1|EP Day 1|EpProd|/BI - Data Analytics/DataSource/EpProd|3A465E20-952E-484B-9A73-2BC30D956214
/BI - EchoPark/Replenishment|Replenishment|EchoPark|/BI - EchoPark/DataSource/EchoPark|27B116BA-A23B-455C-8F87-92C7DEE7A6C9
/BI - Financial Reporting/VehGT100K|VehGT100K|DataSource1|/BI - Financial Reporting/DataSource/COR_SQL_02_DMS_DWA|711DBC69-119D-4F47-856D-8F9CBC3B65B6
/BI - Financial Reporting/VehGT100K_old|VehGT100K_old|DataSource1|/BI - Financial Reporting/DataSource/COR_SQL_02_WebV|3C3AD386-39C3-40CF-A603-B1A3F51CE7CF
/BI - FORCE/EP_ReconCost|EP_ReconCost|CORBISQL02|/BI - FORCE/DataSource/COR-BISQL-02|D6C5A9DD-AF65-4C9E-BBA0-4C42836E62FE
/BI - FORCE/TIRE Report|TIRE Report|DMS|/BI - FORCE/DataSource/DMS_DWA|49D1015B-F3F0-4A2B-8D52-4E0FC08FF0AC
/BI - FORCE/UpLoadOpCodes|UpLoadOpCodes|CorBISQL02|/BI - FORCE/DataSource/COR-BISQL-02|D6C5A9DD-AF65-4C9E-BBA0-4C42836E62FE
/BI - FPnA/Copy of Retail Sales Report_CleanGross_Hal|Copy of Retail Sales Report_CleanGross_Hal|COR_BISQL_01|/BI - FPnA/DataSource/COR-BISQL-01|EBC149DD-7CCB-4AB9-8A4C-8E0323D6F423
/BI - FPnA/Copy of Retail Sales Report_CleanGross_Hal_B1|Copy of Retail Sales Report_CleanGross_Hal_B1|COR_BISQL_01|/BI - FPnA/DataSource/COR-BISQL-01|EBC149DD-7CCB-4AB9-8A4C-8E0323D6F423
/BI - FPnA/Retail Sales MTD vs Last Year|Retail Sales MTD vs Last Year|COR_BISQL_01|/BI - FPnA/DataSource/COR-BISQL-01|EBC149DD-7CCB-4AB9-8A4C-8E0323D6F423
/BI - FPnA/Retail Sales Report|Retail Sales Report|COR_BISQL_01|/BI - FPnA/DataSource/COR-BISQL-01|EBC149DD-7CCB-4AB9-8A4C-8E0323D6F423
/BI - FPnA/Retail Sales Report_CleanGross|Retail Sales Report_CleanGross|COR_BISQL_01|/BI - FPnA/DataSource/COR-BISQL-01|EBC149DD-7CCB-4AB9-8A4C-8E0323D6F423
/BI - FPnA/Retail Sales Report_CleanGross_Hal|Retail Sales Report_CleanGross_Hal|COR_BISQL_01|/BI - FPnA/DataSource/COR-BISQL-01|EBC149DD-7CCB-4AB9-8A4C-8E0323D6F423
/BI - FPnA/Retail Sales Report_CleanGross_Hal_B1|Retail Sales Report_CleanGross_Hal_B1|COR_BISQL_01|/BI - FPnA/DataSource/COR-BISQL-01|EBC149DD-7CCB-4AB9-8A4C-8E0323D6F423
/BI - FPnA/Retail Sales Report_CleanGross_Hal_B1_Copy|Retail Sales Report_CleanGross_Hal_B1_Copy|COR_BISQL_01|/BI - FPnA/DataSource/COR-BISQL-01|EBC149DD-7CCB-4AB9-8A4C-8E0323D6F423
/BI - FPnA/Retail Sales Report_CleanGross_Hal_B1_OpenRange|Retail Sales Report_CleanGross_Hal_B1_OpenRange|COR_BISQL_01|/BI - FPnA/DataSource/COR-BISQL-01|EBC149DD-7CCB-4AB9-8A4C-8E0323D6F423
/BI - FPnA/Retail Sales Report_CleanGross_Hal_B1YDay|Retail Sales Report_CleanGross_Hal_B1YDay|COR_BISQL_01|/BI - FPnA/DataSource/COR-BISQL-01|EBC149DD-7CCB-4AB9-8A4C-8E0323D6F423
/BI - FPnA/Retail Sales Report_CleanGross_Hal_RP|Retail Sales Report_CleanGross_Hal_RP|COR_BISQL_01|/BI - FPnA/DataSource/COR-BISQL-01|EBC149DD-7CCB-4AB9-8A4C-8E0323D6F423
/BI - New Vehicles/Archive/New Inventory - Playbook - All|New Inventory - Playbook - All|BI_WorkDB|/BI - New Vehicles/DataSource/L1-DWASQL-02_BIWDB|045A54AF-585D-436C-BA1E-A4DD685D2E71
/BI - New Vehicles/Archive/New Inventory - Playbook - All_exp (1)|New Inventory - Playbook - All_exp (1)|BI_WorkDB|/BI - New Vehicles/DataSource/COR_SQL_02_BIWDB|9EAAE27C-FE5D-4B6E-9FA5-9A62D7E72197
/BI - New Vehicles/Archive/New Inventory - Playbook - All_exp_Playbook|New Inventory - Playbook - All_exp_Playbook|BI_WorkDB|/BI - New Vehicles/DataSource/L1-DWASQL-02_BIWDB|045A54AF-585D-436C-BA1E-A4DD685D2E71
/BI - New Vehicles/Archive/New Inventory - Playbook - All_exp_Playbook_strpd|New Inventory - Playbook - All_exp_Playbook_strpd|BI_WorkDB|/BI - New Vehicles/DataSource/L1-DWASQL-02_BIWDB|045A54AF-585D-436C-BA1E-A4DD685D2E71
/BI - New Vehicles/Archive/New Inventory - Pricing - All_exp|New Inventory - Pricing - All_exp|BI_WorkDB|/BI - New Vehicles/DataSource/L1-DWASQL-02_BIWDB|045A54AF-585D-436C-BA1E-A4DD685D2E71
/BI - New Vehicles/Archive/New Playbook - Pre Visit|New Playbook - Pre Visit|BI_Workdb|/BI - New Vehicles/DataSource/L1-DWASQL-02_BIWDB|045A54AF-585D-436C-BA1E-A4DD685D2E71
/BI - New Vehicles/New Inventory - Count By Make|New Inventory - Count By Make|BI_WorkDB|/BI - New Vehicles/DataSource/L1-DWASQL-02_BIWDB|045A54AF-585D-436C-BA1E-A4DD685D2E71
/BI - New Vehicles/New Inventory - Playbook - All_exp|New Inventory - Playbook - All_exp|BI_WorkDB|/BI - New Vehicles/DataSource/L1-DWASQL-02_BIWDB|045A54AF-585D-436C-BA1E-A4DD685D2E71
/BI - New Vehicles/New Inventory - Playbook - SingleStore|New Inventory - Playbook - SingleStore|BI_WorkDB|/BI - New Vehicles/DataSource/L1-DWASQL-02_BIWDB|045A54AF-585D-436C-BA1E-A4DD685D2E71
/BI - Payroll/PayrollEntry_CoID_UserID|PayrollEntry_CoID_UserID|DMS|/BI - Payroll/DataSource/DMS_DWA|A1F908D9-0464-44F2-9DAB-E472DBD44D57
/BI - Payroll/PayrollEntrySummary|PayrollEntrySummary|DMS|/BI - Payroll/DataSource/DMS_DWA|A1F908D9-0464-44F2-9DAB-E472DBD44D57
/BI - Retail Strategy/Copy of WeekendAppts|Copy of WeekendAppts|eLeads|/BI - Retail Strategy/DataSource/eLeadDW_DWA|9C7303B5-1713-4805-B0C4-607E8D1BD422
/BI - Retail Strategy/EP Customers|EP Customers|DMS|/BI - Retail Strategy/DataSource/DMS_DWA|4CCA1754-DF18-4940-89ED-21B4C4772928
/BI - Retail Strategy/EP Leads|EP Leads|Elead|/BI - Retail Strategy/DataSource/eLeadDW_DWA|9C7303B5-1713-4805-B0C4-607E8D1BD422
/BI - Retail Strategy/LeadsBySource|LeadsBySource|DataSource1|/BI - Retail Strategy/DataSource/eLeadDW_DWA|9C7303B5-1713-4805-B0C4-607E8D1BD422
/BI - Retail Strategy/Logged Vs OverDue|Logged Vs OverDue|eLeadDW|/BI - Retail Strategy/DataSource/eLeadDW_DWA|9C7303B5-1713-4805-B0C4-607E8D1BD422
/BI - Retail Strategy/SCORES/CustomerByName|CustomerByName|DataSource1|NULL|NULL
/BI - Retail Strategy/SCORES/OpportunityPkgs|OpportunityPkgs|DataSource1|NULL|NULL
/BI - Retail Strategy/Sonic Quartile Report|Sonic Quartile Report|eLeadDW|/BI - Retail Strategy/DataSource/eLeadDW_DWA|9C7303B5-1713-4805-B0C4-607E8D1BD422
/BI - Retail Strategy/WeekendAppts|WeekendAppts|eLeads|/BI - Retail Strategy/DataSource/eLeadDW_DWA|9C7303B5-1713-4805-B0C4-607E8D1BD422
/BI - Retail Strategy/WeekendApptsOld|WeekendApptsOld|eLeads|/BI - Retail Strategy/DataSource/eLeadDW_DWA|9C7303B5-1713-4805-B0C4-607E8D1BD422
