ReportPath|ReportName|ParameterName|DataType|Prompt|AllowBlank|Nullable|MultiValue
----------|----------|-------------|--------|------|----------|--------|----------
/AcctStd/Custno to Stockno|Custno to Stockno|AcctgAcct|String|Acctg Acct|NULL|NULL|NULL
/AcctStd/Custno to Stockno|Custno to Stockno|CustNos|String|Cust Nos|NULL|NULL|true
/AcctStd/ROnumber to Custno|ROnumber to Custno|AcctgAcct|String|Acctg Acct|NULL|NULL|NULL
/AcctStd/ROnumber to Custno|ROnumber to Custno|RONos|String|RO #s|NULL|NULL|true
/AcctStd/Stockno to Custno|Stockno to Custno|AcctgAcct|String|Acctg Acct|NULL|NULL|NULL
/AcctStd/Stockno to Custno|Stockno to Custno|StockNos|String|Stock Nos|NULL|NULL|true
/AcctStd/Trade1Stockno to Custno|Trade1Stockno to Custno|AcctgAcct|String|Acctg Acct|NULL|NULL|NULL
/AcctStd/Trade1Stockno to Custno|Trade1Stockno to Custno|Trade1Stocknos|String|Trade1 Stock #s|NULL|NULL|true
/BI - Controllers/GL - Open Stores|GL - Open Stores|Month|DateTime|Month|NULL|NULL|NULL
/BI - Financial Reporting/VehGT100K|VehGT100K|ReportDate|String|Report Date|NULL|NULL|NULL
/BI - FORCE/EP_ReconCost|EP_ReconCost|enddate|DateTime|enddate|NULL|NULL|NULL
/BI - FORCE/EP_ReconCost|EP_ReconCost|startdate|DateTime|startdate|NULL|NULL|NULL
/BI - FORCE/TIRE Report|TIRE Report|EndDate|DateTime|End Date|NULL|NULL|NULL
/BI - FORCE/TIRE Report|TIRE Report|StartDate|DateTime|Start Date|NULL|NULL|NULL
/BI - FPnA/Copy of Retail Sales Report_CleanGross_Hal|Copy of Retail Sales Report_CleanGross_Hal|BegDate|DateTime|Beg Date|NULL|NULL|NULL
/BI - FPnA/Copy of Retail Sales Report_CleanGross_Hal|Copy of Retail Sales Report_CleanGross_Hal|DealStatus|String|Deal Status|NULL|NULL|true
/BI - FPnA/Copy of Retail Sales Report_CleanGross_Hal|Copy of Retail Sales Report_CleanGross_Hal|EndDate|DateTime|End Date|NULL|NULL|NULL
/BI - FPnA/Copy of Retail Sales Report_CleanGross_Hal_B1|Copy of Retail Sales Report_CleanGross_Hal_B1|BegDate|DateTime|Beg Date|NULL|NULL|NULL
/BI - FPnA/Copy of Retail Sales Report_CleanGross_Hal_B1|Copy of Retail Sales Report_CleanGross_Hal_B1|DealStatus|String|Deal Status|NULL|NULL|true
/BI - FPnA/Copy of Retail Sales Report_CleanGross_Hal_B1|Copy of Retail Sales Report_CleanGross_Hal_B1|EndDate|DateTime|End Date|NULL|NULL|NULL
/BI - FPnA/Retail Sales MTD vs Last Year|Retail Sales MTD vs Last Year|BegDate|DateTime|Beg Date|NULL|NULL|NULL
/BI - FPnA/Retail Sales MTD vs Last Year|Retail Sales MTD vs Last Year|EndDate|DateTime|End Date|NULL|NULL|NULL
/BI - FPnA/Retail Sales Report|Retail Sales Report|BegDate|DateTime|Beg Date|NULL|NULL|NULL
/BI - FPnA/Retail Sales Report|Retail Sales Report|DealStatus|String|Deal Status|NULL|NULL|true
/BI - FPnA/Retail Sales Report|Retail Sales Report|EndDate|DateTime|End Date|NULL|NULL|NULL
/BI - FPnA/Retail Sales Report_CleanGross|Retail Sales Report_CleanGross|BegDate|DateTime|Beg Date|NULL|NULL|NULL
/BI - FPnA/Retail Sales Report_CleanGross|Retail Sales Report_CleanGross|DealStatus|String|Deal Status|NULL|NULL|true
/BI - FPnA/Retail Sales Report_CleanGross|Retail Sales Report_CleanGross|EndDate|DateTime|End Date|NULL|NULL|NULL
/BI - FPnA/Retail Sales Report_CleanGross_Hal|Retail Sales Report_CleanGross_Hal|BegDate|DateTime|Beg Date|NULL|NULL|NULL
/BI - FPnA/Retail Sales Report_CleanGross_Hal|Retail Sales Report_CleanGross_Hal|DealStatus|String|Deal Status|NULL|NULL|true
/BI - FPnA/Retail Sales Report_CleanGross_Hal|Retail Sales Report_CleanGross_Hal|EndDate|DateTime|End Date|NULL|NULL|NULL
/BI - FPnA/Retail Sales Report_CleanGross_Hal_B1|Retail Sales Report_CleanGross_Hal_B1|BegDate|DateTime|Beg Date|NULL|NULL|NULL
/BI - FPnA/Retail Sales Report_CleanGross_Hal_B1|Retail Sales Report_CleanGross_Hal_B1|DealStatus|String|Deal Status|NULL|NULL|true
/BI - FPnA/Retail Sales Report_CleanGross_Hal_B1|Retail Sales Report_CleanGross_Hal_B1|EndDate|DateTime|End Date|NULL|NULL|NULL
/BI - FPnA/Retail Sales Report_CleanGross_Hal_B1_Copy|Retail Sales Report_CleanGross_Hal_B1_Copy|BegDate|DateTime|Beg Date|NULL|NULL|NULL
/BI - FPnA/Retail Sales Report_CleanGross_Hal_B1_Copy|Retail Sales Report_CleanGross_Hal_B1_Copy|DealStatus|String|Deal Status|NULL|NULL|true
/BI - FPnA/Retail Sales Report_CleanGross_Hal_B1_Copy|Retail Sales Report_CleanGross_Hal_B1_Copy|EndDate|DateTime|End Date|NULL|NULL|NULL
/BI - FPnA/Retail Sales Report_CleanGross_Hal_B1_OpenRange|Retail Sales Report_CleanGross_Hal_B1_OpenRange|BegDate|DateTime|Beg Date|NULL|NULL|NULL
/BI - FPnA/Retail Sales Report_CleanGross_Hal_B1_OpenRange|Retail Sales Report_CleanGross_Hal_B1_OpenRange|DealStatus|String|Deal Status|NULL|NULL|true
/BI - FPnA/Retail Sales Report_CleanGross_Hal_B1_OpenRange|Retail Sales Report_CleanGross_Hal_B1_OpenRange|EndDate|DateTime|End Date|NULL|NULL|NULL
/BI - FPnA/Retail Sales Report_CleanGross_Hal_B1YDay|Retail Sales Report_CleanGross_Hal_B1YDay|BegDate|DateTime|Beg Date|NULL|NULL|NULL
/BI - FPnA/Retail Sales Report_CleanGross_Hal_B1YDay|Retail Sales Report_CleanGross_Hal_B1YDay|DealStatus|String|Deal Status|NULL|NULL|true
/BI - FPnA/Retail Sales Report_CleanGross_Hal_B1YDay|Retail Sales Report_CleanGross_Hal_B1YDay|EndDate|DateTime|End Date|NULL|NULL|NULL
/BI - FPnA/Retail Sales Report_CleanGross_Hal_RP|Retail Sales Report_CleanGross_Hal_RP|BegDate|DateTime|Beg Date|NULL|NULL|NULL
/BI - FPnA/Retail Sales Report_CleanGross_Hal_RP|Retail Sales Report_CleanGross_Hal_RP|DealStatus|String|Deal Status|NULL|NULL|true
/BI - FPnA/Retail Sales Report_CleanGross_Hal_RP|Retail Sales Report_CleanGross_Hal_RP|EndDate|DateTime|End Date|NULL|NULL|NULL
