ItemID|Path|Name|Created|Modified|ModifiedBy|ExecutionsLast6Months|LastExecution|DistinctUsersLast6Months|SubscriptionCount
------|----|----|-------|--------|----------|---------------------|-------------|------------------------|-----------------
37C1685A-B2A9-4C57-B920-6185D0B09298|/AcctStd/Custno to Stockno|Custno to Stockno|2014-09-11 17:15:47|2014-09-11 17:15:47|SONIC\Mark.Starnes|0|NULL|0|0
C518FA89-7C07-4956-A0B7-A4B0EADE4E5F|/AcctStd/ROnumber to Custno|ROnumber to Custno|2014-09-11 17:15:51|2014-09-11 17:15:51|SONIC\Mark.Starnes|0|NULL|0|0
0FBE343F-EEA8-4113-B95B-98749B9793BF|/AcctStd/Stockno to Custno|Stockno to Custno|2014-09-11 17:15:51|2014-09-11 17:15:51|SONIC\Mark.Starnes|0|NULL|0|0
26027469-FEC6-43CF-9018-BD5C061F8535|/AcctStd/Trade1Stockno to Custno|Trade1Stockno to Custno|2014-09-11 17:15:52|2014-09-11 17:15:52|SONIC\Mark.Starnes|0|NULL|0|0
EF9F94B4-37F1-4148-8B91-32C49E660979|/BI - Controllers/GL - Open Stores|GL - Open Stores|2014-08-04 17:04:20|2014-08-04 17:04:20|SONIC\Mark.Starnes|70|2026-03-19 08:00:15|3|1
FD471958-7266-418C-9B1F-D968A38FE5B3|/BI - Daily Status/DailyStatus|DailyStatus|2014-08-04 17:53:14|2014-08-04 17:53:14|SONIC\Mark.Starnes|9|2026-04-10 10:41:36|6|1
7E546BEC-D805-4664-BFDD-679550DCE7B4|/BI - Data Analytics/EP Day 1|EP Day 1|2017-02-17 15:23:10|2017-02-17 15:23:10|SONIC\Mark.Starnes|1|2026-01-23 13:07:07|1|0
FE1B3D4E-239F-4F3C-8EBA-EBFCF2BF0400|/BI - EchoPark/Replenishment|Replenishment|2016-08-08 18:16:31|2016-08-08 18:24:47|SONIC\Mark.Starnes|0|NULL|0|1
F214DDC4-A26E-41E9-95B8-256B91FEEEC9|/BI - Financial Reporting/VehGT100K|VehGT100K|2014-08-04 16:46:23|2017-12-13 08:36:11|SONIC\Mark.Starnes|0|NULL|0|1
2237D4A2-F3FC-4871-AC1A-6BBEF82DA276|/BI - Financial Reporting/VehGT100K_old|VehGT100K_old|2017-12-13 08:36:14|2017-12-13 08:36:14|SONIC\Mark.Starnes|0|NULL|0|0
FC0006B2-1B5B-4AC3-AB90-DA815FFCF71A|/BI - FORCE/EP_ReconCost|EP_ReconCost|2018-02-13 15:39:20|2018-02-13 15:39:20|SONIC\Mark.Starnes|0|NULL|0|0
