TABLE_SCHEMA                                                                                                                     TABLE_NAME                                                                                                                       COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        ORDINAL_POSITION
-------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- ----------------
dbo                                                                                                                              dwFullActivity                                                                                                                   lCompanyID                                                                                                                       int                                                                                                                                             1
dbo                                                                                                                              dwFullActivity                                                                                                                   lTaskID                                                                                                                          bigint                                                                                                                                          2
dbo                                                                                                                              dwFullActivity                                                                                                                   szTask                                                                                                                           varchar                                                                                                                                         3
dbo                                                                                                                              dwFullActivity                                                                                                                   lTaskTypeID                                                                                                                      int                                                                                                                                             4
dbo                                                                                                                              dwFullActivity                                                                                                                   szTaskType                                                                                                                       varchar                                                                                                                                         5
dbo                                                                                                                              dwFullActivity                                                                                                                   lWorkflowID                                                                                                                      int                                                                                                                                             6
dbo                                                                                                                              dwFullActivity                                                                                                                   szWorkflow                                                                                                                       varchar                                                                                                                                         7
dbo                                                                                                                              dwFullActivity                                                                                                                   lCreatetaskID                                                                                                                    int                                                                                                                                             8
dbo                                                                                                                              dwFullActivity                                                                                                                   lDealID                                                                                                                          int                                                                                                                                             9
dbo                                                                                                                              dwFullActivity                                                                                                                   lCreatorID                                                                                                                       int                                                                                                                                            10
dbo                                                                                                                              dwFullActivity                                                                                                                   dtActive                                                                                                                         datetime                                                                                                                                       11
dbo                                                                                                                              dwFullActivity                                                                                                                   dtDue                                                                                                                            datetime                                                                                                                                       12
dbo                                                                                                                              dwFullActivity                                                                                                                   dtSentToCallCenter                                                                                                               datetime                                                                                                                                       13
dbo                                                                                                                              dwFullActivity                                                                                                                   dtCompleted                                                                                                                      datetime                                                                                                                                       14
dbo                                                                                                                              dwFullActivity                                                                                                                   dtClosed                                                                                                                         datetime                                                                                                                                       15
dbo                                                                                                                              dwFullActivity                                                                                                                   dtSurveyClosed                                                                                                                   smalldatetime                                                                                                                                  16
dbo                                                                                                                              dwFullActivity                                                                                                                   lCustomerID                                                                                                                      int                                                                                                                                            17
dbo                                                                                                                              dwFullActivity                                                                                                                   lCompletedByID                                                                                                                   int                                                                                                                                            18
dbo                                                                                                                              dwFullActivity                                                                                                                   lReassignedToID                                                                                                                  int                                                                                                                                            19
dbo                                                                                                                              dwFullActivity                                                                                                                   lCurrentOwnerID                                                                                                                  int                                                                                                                                            20
dbo                                                                                                                              dwFullActivity                                                                                                                   dtEntry                                                                                                                          datetime                                                                                                                                       21
dbo                                                                                                                              dwFullActivity                                                                                                                   dtLastEdit                                                                                                                       datetime                                                                                                                                       22
dbo                                                                                                                              dwFullActivity                                                                                                                   lTemplateID                                                                                                                      int                                                                                                                                            23
dbo                                                                                                                              dwFullActivity                                                                                                                   szTemplate                                                                                                                       varchar                                                                                                                                        24
dbo                                                                                                                              dwFullActivity                                                                                                                   lServiceID                                                                                                                       int                                                                                                                                            25
dbo                                                                                                                              dwFullActivity                                                                                                                   dtService                                                                                                                        smalldatetime                                                                                                                                  26
dbo                                                                                                                              dwFullActivity                                                                                                                   szLegacyROID                                                                                                                     varchar                                                                                                                                        27
dbo                                                                                                                              dwFullActivity                                                                                                                   lVehicleID                                                                                                                       int                                                                                                                                            28
dbo                                                                                                                              dwFullActivity                                                                                                                   szLast8Vin                                                                                                                       varchar                                                                                                                                        29
dbo                                                                                                                              dwFullActivity                                                                                                                   dwActive                                                                                                                         bit                                                                                                                                            30
dbo                                                                                                                              dwFullActivity                                                                                                                   lSourceID                                                                                                                        int                                                                                                                                            31
dbo                                                                                                                              dwFullActivity                                                                                                                   nliReferenceSourceID                                                                                                             smallint                                                                                                                                       32
dbo                                                                                                                              dwFullActivity                                                                                                                   lReferenceID                                                                                                                     bigint                                                                                                                                         33
dbo                                                                                                                              dwFullActivity                                                                                                                   szSource                                                                                                                         varchar                                                                                                                                        34
dbo                                                                                                                              dwFullActivity                                                                                                                   lSubSourceID                                                                                                                     int                                                                                                                                            35
